CPSC 1710 3
MATH 1030 4
ENGL 1010 3
CPSC 1720 3
MATH 1070 4
* AfricanAmericanHeritage 3
CPSC 2730 3
CPSC 2120 3
* HumanPast 3
CPSC 2740 3
PHIL 2040 3
MATH 2550 3
CPSC 3060 3
* ScientificReasoning 3
* CPSCElective 3
